text,created_at,user
"AAPL earnings beat expectations, stock is a buy!",2025-04-17 10:00:00,user1
"Loving the new AAPL product, definitely a game-changer!",2025-04-17 11:00:00,user2
"AAPL stock looks overvalued, might sell soon.",2025-04-17 12:00:00,user3
"AAPL is killing it today, great performance!",2025-04-17 13:00:00,user4
"Mixed feelings about AAPL’s latest move, holding for now.",2025-04-17 14:00:00,user5
"AAPL stock dropping, not a good sign.",2025-04-21 10:00:00,user1
"Disappointing AAPL update, selling my shares.",2025-04-21 11:00:00,user2
"AAPL looks risky right now, I’m out.",2025-04-21 12:00:00,user3
"AAPL might recover, but I’m cautious.",2025-04-21 13:00:00,user4
"Not sure about AAPL’s future, staying neutral.",2025-04-21 14:00:00,user5
"AAPL is soaring today, great earnings report!",2025-04-22 10:00:00,user1
"Not impressed with AAPL's latest product launch, might sell my shares.",2025-04-22 11:00:00,user2
"AAPL stock looks stable, holding for now.",2025-04-22 12:00:00,user3
"Wow, AAPL just hit a new all-time high, amazing!",2025-04-22 13:00:00,user4
"Concerned about AAPL’s supply chain issues, could impact stock price.",2025-04-22 14:00:00,user5
